date,temperature_mean_c,temperature_max_c,temperature_min_c
2025-01-01,0.7,6.8,-3.4
2025-01-02,-1.1,4.2,-4.1
2025-01-03,-2.6,1.1,-5.5
2025-01-04,-1.9,2.8,-5.4
2025-01-05,0.5,3.1,-1.7
2025-01-06,-1.6,1.3,-5.2
2025-01-07,-4.6,-0.1,-10.0
2025-01-08,-4.2,0.1,-6.8
2025-01-09,-10.6,-7.4,-12.4
2025-01-10,-8.7,-3.7,-12.4
2025-01-11,-6.3,-2.4,-10.1
2025-01-12,-3.8,1.1,-7.6
2025-01-13,-1.2,4.0,-5.0
2025-01-14,0.9,5.3,-2.4
2025-01-15,-4.3,-2.5,-6.1
2025-01-16,-1.6,2.3,-5.1
2025-01-17,-2.7,3.2,-6.9
2025-01-18,-1.0,4.5,-4.2
2025-01-19,0.7,6.2,-2.9
2025-01-20,1.4,4.9,-1.0
2025-01-21,0.1,5.1,-2.9
2025-01-22,0.8,4.7,-2.0
2025-01-23,-0.6,4.5,-3.6
2025-01-24,0.6,7.4,-3.2
2025-01-25,2.6,7.9,-0.5
2025-01-26,2.1,5.7,-0.8
2025-01-27,-0.8,1.8,-4.5
2025-01-28,-5.4,-4.5,-6.3
2025-01-29,-6.7,-4.5,-9.0
2025-01-30,-5.1,-1.4,-8.8
2025-01-31,-1.9,-0.2,-3.9
2025-02-01,0.3,7.1,-4.7
2025-02-02,0.0,5.1,-3.7
2025-02-03,-5.4,-0.9,-9.1
2025-02-04,-10.2,-6.7,-13.7
2025-02-05,-9.1,-4.6,-11.9
2025-02-06,-6.5,-1.2,-11.6
2025-02-07,-9.7,-8.3,-11.9
2025-02-08,-9.0,-4.2,-12.8
2025-02-09,-6.7,-1.0,-11.3
2025-02-10,-5.1,0.4,-9.6
2025-02-11,-2.1,4.6,-8.1
2025-02-12,-0.4,2.4,-3.8
2025-02-13,-1.3,4.1,-7.0
2025-02-14,1.6,8.0,-2.4
2025-02-15,1.2,6.4,-2.9
2025-02-16,2.4,8.5,-1.4
2025-02-17,-1.6,1.8,-4.0
2025-02-18,-3.0,0.9,-5.4
2025-02-19,-3.8,0.2,-7.0
2025-02-20,-3.4,1.1,-6.3
2025-02-21,-3.2,1.6,-6.4
2025-02-22,-3.0,1.5,-6.0
2025-02-23,-3.9,0.1,-6.4
2025-02-24,-2.1,3.5,-5.7
2025-02-25,1.1,5.5,-2.8
2025-02-26,1.4,7.1,-3.5
2025-02-27,2.9,10.7,-2.9
2025-02-28,4.5,9.4,0.8
2025-03-01,3.9,10.4,-0.6
2025-03-02,5.2,12.1,1.5
2025-03-03,1.5,4.8,-0.7
2025-03-04,1.1,2.7,-0.4
2025-03-05,2.9,6.6,0.9
2025-03-06,3.1,8.9,-1.9
2025-03-07,2.7,8.3,-2.6
2025-03-08,4.1,8.6,0.7
2025-03-09,3.9,10.3,-1.9
2025-03-10,5.1,12.3,-1.0
2025-03-11,6.2,13.2,-0.4
2025-03-12,6.8,10.8,3.5
2025-03-13,7.2,13.6,1.1
2025-03-14,10.0,16.9,3.2
2025-03-15,9.6,15.1,4.9
2025-03-16,4.4,7.8,0.3
2025-03-17,0.9,4.9,-3.5
2025-03-18,0.8,4.1,-1.6
2025-03-19,0.7,5.3,-3.9
2025-03-20,5.2,13.1,-1.3
2025-03-21,8.4,15.6,3.1
2025-03-22,10.1,17.0,4.6
2025-03-23,12.1,21.3,4.4
2025-03-24,12.8,18.6,9.3
2025-03-25,10.7,20.4,7.2
2025-03-26,13.0,22.9,3.6
2025-03-27,13.0,19.7,7.3
2025-03-28,6.2,11.1,2.3
2025-03-29,2.2,6.5,-1.0
2025-03-30,1.8,6.2,-3.0
2025-03-31,5.2,12.0,-1.0
